,Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,lastTransfer,agentsTransfer
10,06.1214,0,0,1,435584,,European Paintings,1906.0,"Painting, predella panel",The Nativity,,,,,,10731,Artist, ,Antoniazzo Romano (Antonio di Benedetto Aquilio),"Italian, Rome 1435/40–1508 Rome", ,Antoniazzo Romano (Antonio di Benedetto Aquilio),Italian,1435      ,1508      ,,http://vocab.getty.edu/page/ulan/500031194,https://www.wikidata.org/wiki/Q598649,1480s,1480,1489,Tempera on wood,11 1/2 x 26 1/2 in. (29.2 x 67.3 cm),"Rogers Fund, 1906",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435584,https://www.wikidata.org/wiki/Q19912097,,"Metropolitan Museum of Art, New York, NY",Animals|Jesus|Nativity|Donkeys|Sheep|Landscapes|Angels|Virgin Mary,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/ia/901000124|http://vocab.getty.edu/page/aat/300265959|http://vocab.getty.edu/page/aat/300250284|http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/ia/901000032,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q302|https://www.wikidata.org/wiki/Q3537778|https://www.wikidata.org/wiki/Q7368|https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q51628|https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q345,Purchase,Rogers Fund
11,38.178,0,1,1,435593,,European Paintings,1938.0,Painting fragment,Eve with Cain and Abel,,,,,,16279,Artist, ,Bachiacca (Francesco d'Ubertino Verdi),"Italian, Florence 1494–1557 Florence", ,Bachiacca (Francesco d'Ubertino Verdi),Italian,1494      ,1557      ,,http://vocab.getty.edu/page/ulan/500021332,https://www.wikidata.org/wiki/Q7770,1520s,1520,1529,Tempera and oil on wood,15 3/4 x 9 1/4 in. (40 x 23.5 cm),"Gwynne Andrews Fund, 1938",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435593,https://www.wikidata.org/wiki/Q19905427,,"Metropolitan Museum of Art, New York, NY",Abel|Cain|Eve|Infants|Female Nudes,http://vocab.getty.edu/page/ia/901000498|http://vocab.getty.edu/page/ia/901000499|http://vocab.getty.edu/page/ia/901000205|http://vocab.getty.edu/page/aat/300189561|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q313421|https://www.wikidata.org/wiki/Q205365|https://www.wikidata.org/wiki/Q998|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q830183,Purchase,Gwynne Andrews Fund
12,1982.60.11,0,1,1,435594,537.0,European Paintings,1982.0,Painting,Leda and the Swan,,,,,,16279,Artist, ,Bachiacca (Francesco d'Ubertino Verdi),"Italian, Florence 1494–1557 Florence", ,Bachiacca (Francesco d'Ubertino Verdi),Italian,1494      ,1557      ,,http://vocab.getty.edu/page/ulan/500021332,https://www.wikidata.org/wiki/Q7770,,1515,1557,Oil on wood,Overall 16 7/8 x 12 1/2 in. (42.9 x 31.8 cm); painted surface 16 1/2 x 12 1/2 in. (41.9 x 31.8 cm),"The Jack and Belle Linsky Collection, 1982",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435594,https://www.wikidata.org/wiki/Q19912510,,"Metropolitan Museum of Art, New York, NY",Leda|Swans|Infants|Female Nudes|Eggs,http://vocab.getty.edu/page/ia/901001941|http://vocab.getty.edu/page/aat/300250103|http://vocab.getty.edu/page/aat/300189561|http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300395680,https://www.wikidata.org/wiki/Q182019|https://www.wikidata.org/wiki/Q34384|https://www.wikidata.org/wiki/Q998|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q93189,Collection,The Jack and Belle Linsky Collection
13,1982.60.10,0,0,1,435595,537.0,European Paintings,1982.0,Painting,Madonna and Child,,,,,,16279,Artist, ,Bachiacca (Francesco d'Ubertino Verdi),"Italian, Florence 1494–1557 Florence", ,Bachiacca (Francesco d'Ubertino Verdi),Italian,1494      ,1557      ,,http://vocab.getty.edu/page/ulan/500021332,https://www.wikidata.org/wiki/Q7770,possibly early 1520s,1520,1523,Oil and gold on wood,34 1/4 x 26 1/2 in. (87 x 67.3 cm),"The Jack and Belle Linsky Collection, 1982",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435595,https://www.wikidata.org/wiki/Q19904854,,"Metropolitan Museum of Art, New York, NY",Madonna and Child,http://vocab.getty.edu/page/ia/901000052,https://www.wikidata.org/wiki/Q9309699,Collection,The Jack and Belle Linsky Collection
14,32.100.94,0,0,1,435601,,European Paintings,1932.0,Painting,Madonna and Child,,,,,,10733,Artist, ,Ercole Banci,"Italian, Bolognese, active early 16th century", ,"Banci, Ercole",Italian,1500      ,1529      ,,http://vocab.getty.edu/page/ulan/500092915,https://www.wikidata.org/wiki/Q1348628,,1500,1529,Tempera on wood,15 1/4 x 12 3/8 in. (38.7 x 31.4 cm),"The Friedsam Collection, Bequest of Michael Friedsam, 1931",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435601,https://www.wikidata.org/wiki/Q19912854,,"Metropolitan Museum of Art, New York, NY",Madonna and Child,http://vocab.getty.edu/page/ia/901000052,https://www.wikidata.org/wiki/Q9309699,Collection,Michael Friedsam
15,37.163.1–3,0,0,1,435602,624.0,European Paintings,1937.0,"Painting, triptych",Madonna and Child with Saints Philip and Agnes,,,,,,10734,Artist, ,Donato de' Bardi,"Italian, Lombard, active by 1426–died 1450/51", ,"Bardi, Donato de'",Italian,1426      ,1451      ,,http://vocab.getty.edu/page/ulan/500005883,https://www.wikidata.org/wiki/Q3713796,ca. 1425–30,1425,1430,"Tempera on wood, gold ground","Central panel, overall 23 1/2 x 13 1/8 in. (59.7 x 33.3 cm), painted surface 23 1/8 x 12 3/4 in. (58.7 x 32.4 cm); each wing, overall 23 5/8 x 6 in. (60 x 15.2 cm), painted surface 23 1/4 x 5 1/2 in. (59.1 x 14 cm)","Gift of Samuel H. Kress Foundation, 1937",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435602,https://www.wikidata.org/wiki/Q19911758,,"Metropolitan Museum of Art, New York, NY",Men|Women|Madonna and Child|Saints,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/ia/901000052|http://vocab.getty.edu/page/aat/300150555,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q9309699|https://www.wikidata.org/wiki/Q43115,Gift,Samuel H. Kress Foundation
16,09.103,0,0,1,435607,,European Paintings,1909.0,"Painting, right wing of a diptych",Scenes from the Life of Christ,,,,,,10734,Artist, ,Giovanni Baronzio,"Italian, active in Romagna and the Marches, second quarter 14th century", ,"Baronzio, Giovanni",Italian,1325      ,1349      ,,http://vocab.getty.edu/page/ulan/500006940,https://www.wikidata.org/wiki/Q535607,mid-1340s,1344,1346,"Tempera on canvas, transferred from wood, gold ground",26 1/4 x 15 in. (66.7 x 38.1 cm),"Rogers Fund, 1909",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435607,https://www.wikidata.org/wiki/Q19911467,,"Metropolitan Museum of Art, New York, NY",Men|Women|Saints|Virgin Mary|Last Judgement|Coronation of the Virgin|Christ,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300150555|http://vocab.getty.edu/page/ia/901000032|http://vocab.getty.edu/page/ia/901001027|http://vocab.getty.edu/page/ia/901000780|http://vocab.getty.edu/page/ia/901000087,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q345|https://www.wikidata.org/wiki/Q1821239|https://www.wikidata.org/wiki/Q1093370|https://www.wikidata.org/wiki/Q43115|https://www.wikidata.org/wiki/Q642420,Purchase,Rogers Fund
17,06.171,0,0,1,435614,606.0,European Paintings,1906.0,Painting,Madonna and Child with the Young Saint John the Baptist,,,,,,16165,Artist, ,Fra Bartolomeo (Bartolomeo di Paolo del Fattorino),"Italian, Florence 1473–1517 Florence", ,"Bartolomeo, Fra (Bartolomeo di Paolo del Fattorino)",Italian,1473      ,1517      ,,http://vocab.getty.edu/page/ulan/500115575,https://www.wikidata.org/wiki/Q7780,ca. 1497,1492,1502,Oil and gold on wood,23 x 17 1/4 in. (58.4 x 43.8 cm),"Rogers Fund, 1906",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435614,https://www.wikidata.org/wiki/Q3842520,,"Metropolitan Museum of Art, New York, NY",Madonna and Child|Saint John the Baptist,http://vocab.getty.edu/page/ia/901000052|http://vocab.getty.edu/page/ia/901001056,https://www.wikidata.org/wiki/Q9309699|https://www.wikidata.org/wiki/Q40662,Purchase,Rogers Fund
18,1982.60.8,0,0,1,435615,537.0,European Paintings,1982.0,Painting,Portrait of a Man,,,,,,16165,Artist, ,Fra Bartolomeo (Bartolomeo di Paolo del Fattorino),"Italian, Florence 1473–1517 Florence", ,"Bartolomeo, Fra (Bartolomeo di Paolo del Fattorino)",Italian,1473      ,1517      ,,http://vocab.getty.edu/page/ulan/500115575,https://www.wikidata.org/wiki/Q7780,shortly after 1497,1497,1517,Oil on wood,Overall 15 5/8 x 12 1/8 in. (39.7 x 30.8 cm); painted surface 15 1/2 x 11 3/4 in. (39.4 x 29.8 cm),"The Jack and Belle Linsky Collection, 1982",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435615,https://www.wikidata.org/wiki/Q19911987,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307,Collection,The Jack and Belle Linsky Collection
19,22.60.59,0,0,1,435616,,European Paintings,1922.0,Painting,Saint Dominic Resuscitating Napoleone Orsini,,,,,,16601,Artist, ,Bartolomeo degli Erri,"Italian, Modena, active 1460–79", ,Bartolomeo degli Erri,Italian,1460      ,1479      ,,http://vocab.getty.edu/page/ulan/500020664,https://www.wikidata.org/wiki/Q2886107,1467–74,1467,1474,"Tempera on canvas, transferred from wood",14 x 17 1/2 in. (35.6 x 44.5 cm),"The Bequest of Michael Dreicer, 1921",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435616,https://www.wikidata.org/wiki/Q19905327,,"Metropolitan Museum of Art, New York, NY",Men|Dogs|Horses|Saints,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300265714|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300150555,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q144|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q43115,Bequest,Michael Dreicer
20,23.140,0,0,1,435617,,European Paintings,1923.0,Painting,Saint Thomas Aquinas Aided by Saints Peter and Paul,,,,,,16601,Artist, ,Bartolomeo degli Erri,"Italian, Modena, active 1460–79", ,Bartolomeo degli Erri,Italian,1460      ,1479      ,,http://vocab.getty.edu/page/ulan/500020664,https://www.wikidata.org/wiki/Q2886107,,1460,1479,Tempera on wood,17 x 12 in. (43.2 x 30.5 cm),"Fletcher Fund, 1923",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435617,https://www.wikidata.org/wiki/Q19905043,,"Metropolitan Museum of Art, New York, NY",Women|Reading|Saint Paul|Saint Peter,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300248178|http://vocab.getty.edu/page/ia/901001058|http://vocab.getty.edu/page/ia/901000056,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q199657|https://www.wikidata.org/wiki/Q9200|https://www.wikidata.org/wiki/Q33923,Purchase,Fletcher Fund
21,1989.132,0,0,1,435618,,European Paintings,1989.0,"Painting, lunette",The Trinity,,,,,,16602,Artist, ,Bartolomeo di Giovanni,"Italian, Florence, active by 1488–died 1501", ,Bartolomeo di Giovanni,Italian,1488      ,1501      ,,http://vocab.getty.edu/page/ulan/500028670,https://www.wikidata.org/wiki/Q2013867,,1488,1501,Tempera on wood,Painted surface 5 1/8 x 10 1/4 in. (13 x 26 cm),"Gift of Daniel Wildenstein, 1989",,,,,,,,,,,,Paintings|Frames,,http://www.metmuseum.org/art/collection/search/435618,https://www.wikidata.org/wiki/Q19912100,,"Metropolitan Museum of Art, New York, NY",Crucifixion|Doves|God the Father|Angels|Christ,http://vocab.getty.edu/page/aat/300404300|http://vocab.getty.edu/page/aat/300250045|http://vocab.getty.edu/page/ia/901000593|http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/ia/901000087,https://www.wikidata.org/wiki/Q3235597|https://www.wikidata.org/wiki/Q2984138|https://www.wikidata.org/wiki/Q186350|https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q642420,Gift,Daniel Wildenstein
22,58.87.1,0,1,1,435619,,European Paintings,1958.0,"Painting, predella panel",The Betrayal of Christ,,,,,,10734,Artist, ,Bartolomeo di Tommaso,"Italian, Umbrian, active by 1425–died 1453/54", ,Bartolomeo di Tommaso,Italian,1425      ,1454      ,,http://vocab.getty.edu/page/ulan/500010103,https://www.wikidata.org/wiki/Q2886111,ca. 1445–50,1440,1450,Tempera on wood,Overall 8 3/4 x 17 in. (22.2 x 43.2 cm); irregular painted surface 7 3/4 x 16 1/8 in. (19.7 x 41 cm),"Gwynne Andrews Fund, 1958",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435619,https://www.wikidata.org/wiki/Q19912855,,"Metropolitan Museum of Art, New York, NY",Apostles|Christ,http://vocab.getty.edu/page/aat/300343837|http://vocab.getty.edu/page/ia/901000087,https://www.wikidata.org/wiki/Q43412|https://www.wikidata.org/wiki/Q642420,Purchase,Gwynne Andrews Fund
23,58.87.2,0,0,1,435620,,European Paintings,1958.0,"Painting, predella panel",The Lamentation and the Entombment,,,,,,10734,Artist, ,Bartolomeo di Tommaso,"Italian, Umbrian, active by 1425–died 1453/54", ,Bartolomeo di Tommaso,Italian,1425      ,1454      ,,http://vocab.getty.edu/page/ulan/500010103,https://www.wikidata.org/wiki/Q2886111,ca. 1445–50,1445,1450,"Tempera on wood, gold ground",Overall 8 3/4 x 17 1/8 in. (22.2 x 43.5 cm); irregular painted surface 8 x 16 1/8 in. (20.3 x 41 cm),"Gwynne Andrews Fund, 1958",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/435620,https://www.wikidata.org/wiki/Q19912856,,"Metropolitan Museum of Art, New York, NY",Sadness|Entombment|Lamentation|Christ|Virgin Mary,http://vocab.getty.edu/page/aat/300055166|http://vocab.getty.edu/page/ia/901001053|http://vocab.getty.edu/page/ia/901001196|http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/ia/901000032,https://www.wikidata.org/wiki/Q169251|https://www.wikidata.org/wiki/Q51637|https://www.wikidata.org/wiki/Q3155356|https://www.wikidata.org/wiki/Q642420|https://www.wikidata.org/wiki/Q345,Purchase,Gwynne Andrews Fund
